year,month,day,event,difficulty
862,,,Началось правление Рюрика,easy
863,,,Кирилл и Мефодий создали кириллицу,hard
882,,,Киев стал столицей древнерусского государства,hard
988,,,Введение христианства на Руси как государственной религии,easy
1019,,,Началось правление Ярослава Мудрого,hard
1113,,,Началось правление Владимира Мономаха,hard
1147,,,Появилось первое летописное упоминание Москвы,easy
1185,,,Написано «Слово о полку Игореве»,hard
1223,,,Произошла битва на Калке,easy
1240,июль,15,Произошла Невская битва,easy
1242,апрель,5,Произошло Ледовое побоище,easy
1380,,,Произошла Куликовская битва,easy
1382,,,Войска Тохтамыша осадили Москву,hard
1462,,,Началось правление Ивана Третьего,hard
1497,,,Был принят Судебник,medium
1533,,,Началось правление Ивана Грозного,medium
1549,,,Был созван первый Земский Собор,hard
1564,,,Была выпущена первая печатная книга Ивана Федорова «Апостол»,medium
1565,,,Была учреждена опричнина,hard
1598,,,Со смертью Ивана Федоровича прекратилась династия Рюриковичей и началось Смутное время,medium
1612,,,Народное ополчение Минина и Пожарского освободило Москву от интервентов,easy
1613,,,Михаил Романов был избран на царство,medium
1648,,,Началось восстание под предводительством Богдана Хмельницкого,hard
1670,,,Началось восстание под предводительством Степана Разина,hard
1700,,,Началась Северная Война,easy
1703,,,Был основан Санкт-Петербург,easy
1709,,,Произошла битва под Полтавой,medium
1712,,,Столица России была перенесена в Санкт-Петербург,medium
1721,,,Закончилась Северная война,easy
1721,,,Россия была провозглашена империей,medium
1725,,,Умер Петр Первый,medium
1755,,,Был основан Московский университет,hard
1762,,,Началось правление Екатерины Второй,medium
1799,,,Состоялись итальянский и швейцарский походы Суворова,hard
1805,,,Произошла битва при Аустерлице,hard
1812,,,Произошло Бородинское сражение,easy
1861,,,Выпущен манифест об отмене крепостного права,easy
1881,,,Народовольцы убили Александра Второго,hard
1894,,,Начало правления Николая Второго,hard
1904,февраль,9,Началась Русско-Японская война,medium
1914,,,Россия вступила в Первую Мировую войну,easy
1917,,,Состоялась февральская и октябрьская революции. Николай Второй отрекся от престола. Началась Гражданская война,easy
1922,,,Образовался Союз Советских Социалистических Республик,easy
1941,июнь,22,Началась Великая Отечественная Война,easy
1945,май,9,Закончилась Великая Отечественная Война,easy
1957,октябрь,4,Был запущен первый искусственный спутник Земли,easy
1961,апрель,12,Юрий Гагарин совершил первый в мире полет в космос,easy
1979,,,Началась Афганская война,medium
1986,апрель,26,Произошла авария на Чернобыльской АЭС,easy
1991,,,Распался СССР,easy
